Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level,Foul Points,Tech Foul Points,Alliance Color,Key creation successful!
12,7692,Left of Goal,1,0,0,0,0,0,0,None,Middle,3,0,0,0,0,0,0,0,None,None,Park,0,0,0,red,
13,7865,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,red,
6,6742,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,3,0,0,0,0,0,0,0,None,None,Park,0,0,0,red,
7,5756,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,Light,Park,1,0,0,red,
8,7856,Inline with Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
9,5214,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,2,0,0,0,0,0,0,0,None,None,Park,1,0,2,red,
10,7716,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,None,1,0,0,red,
11,6742,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,3,0,0,0,0,0,0,0,Light,Light,Hang,1,0,0,red,
12,94,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Hang,0,0,0,red,
13,2591,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,1,0,0,0,0,0,None,None,Park,0,0,0,red,
14,4854,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,Park,1,0,0,red,
14,240,Inline with Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,3,0,0,0,0,0,None,None,Park,1,0,0,blue,
12,33,Inline with Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,0,0,0,red,
13,247,Inline with Goal,1,0,0,2,0,0,0,None,Goal Side Middle,0,0,2,0,0,0,0,0,None,None,Hang,0,0,0,red,
14,3414,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,5,0,0,0,0,0,None,None,Park,1,0,0,red,
15,8280,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,5,0,0,0,0,0,None,None,Park,1,0,0,blue,
16,7232,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,blue,
15,6013,Inline with Goal,1,0,0,2,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,red,
16,7865,Inline with Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,1,0,4,red,
14,5756,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,Light,Light,None,1,0,0,blue,
17,5090,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,5,0,0,0,0,0,0,0,None,Light,Park,1,0,0,red,
17,6742,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,1,0,0,0,0,0,0,0,None,None,Hang,0,0,0,blue,
9,3414,Inline with Alliance Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,2,0,0,0,0,0,None,None,Park,0,0,1,blue,
15,5532,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,0,0,blue,
16,548,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,11,0,0,0,0,0,0,None,None,Hang,1,0,0,blue,
17,33,Right of Goal,1,0,0,3,0,0,0,None,Alliance Trench,0,0,0,0,0,0,0,0,Heavy,None,Hang,0,0,0,blue,
10,5756,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,Light,None,1,0,0,blue,
11,5197,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,None,1,0,4,blue,
12,5531,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,1,0,0,0,0,0,None,None,Park,0,3,0,blue,
13,3096,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,3,0,0,0,0,0,0,0,None,None,None,0,0,0,blue,
14,1481,Inline with Alliance Trench,1,0,0,1,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,0,0,blue,
15,5531,Right of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,1,0,0,blue,
16,4758,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,Light,None,1,0,0,blue,
17,5197,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,None,None,0,0,0,blue,
18,6120,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,0,0,0,red,
18,5214,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,2,0,0,0,0,0,0,0,None,None,Park,1,0,2,blue,
18,7145,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Light,None,None,1,0,2,blue,
18,573,Inline with Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,4,0,0,0,0,0,None,None,None,1,0,2,blue,
19,4768,Inline with Goal,1,0,0,3,0,0,0,None,Goal Zone,0,0,2,0,0,0,0,0,None,None,None,0,0,0,blue,
19,8179,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,blue,
19,247,Right of Goal,1,0,0,3,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Heavy,None,Park,0,0,0,blue,
19,7191,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
15,7716,Left of Goal,0,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,Light,Park,0,0,0,red,
16,4840,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Heavy,None,Park,1,0,4,red,
17,7692,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
18,5577,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,2,0,0,0,0,0,None,None,None,0,0,0,red,
19,5695,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,2,0,0,0,0,0,0,Light,Light,None,1,0,0,red,
20,7716,Inline with Opposing Trench,0,0,0,0,0,0,0,None,HP Side Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,blue,
20,5090,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,5,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
20,5498,Inline with Goal,0,0,0,2,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Hang,0,0,0,blue,
20,8280,Left of Goal,1,0,0,0,0,0,0,None,HP Side Middle,0,0,0,0,0,0,0,0,None,None,None,0,0,0,blue,
21,6120,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,6,0,0,0,0,0,0,None,None,None,0,0,0,blue,
21,4130,Inline with Alliance Trench,1,0,0,5,0,0,0,None,Alliance Trench,0,0,8,0,0,0,0,0,None,None,Hang,0,0,0,blue,
14,835,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,2,0,0,0,0,0,None,None,None,1,0,0,red,
15,4130,Inline with Goal,1,0,0,0,0,0,0,None,Auto Line,0,0,3,1,0,0,0,0,None,None,Hang,0,0,0,red,
16,7856,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,1,0,0,0,0,0,None,None,Park,1,0,4,red,
17,5498,Inline with Goal,1,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,None,1,0,0,red,
18,94,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Hang,0,0,0,red,
19,3538,Inline with Goal,1,0,0,2,0,0,0,Alliance Trench,Alliance Trench,0,0,10,3,0,0,0,0,None,None,Hang,1,0,0,red,
20,5531,Inline with Goal,0,0,0,1,0,0,0,None,Auto Line,0,0,1,0,0,0,0,0,None,None,Park,1,0,0,red,
21,7232,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,0,1,0,red,
22,94,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Hang,0,1,1,red,
21,5197,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,blue,
22,5577,Inline with Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,1,1,blue,
22,4840,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,1,1,blue,
20,548,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,12,0,0,0,0,0,0,None,None,Hang,1,0,0,red,
21,33,Inline with Goal,1,0,0,3,0,0,0,None,Middle,0,0,10,0,0,0,0,0,None,None,Hang,0,1,0,red,
22,5695,Inline with Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,0,1,1,red,
22,8179,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,1,1,blue,
23,6013,Inline with Goal,1,0,0,2,0,0,0,None,Middle,3,0,1,0,0,0,0,0,None,None,Park,0,0,0,red,
23,2591,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,blue,
23,573,Inline with Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,1,0,0,blue,
23,835,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,None,0,0,0,red,
